tool_name,slug,category,risk_level,complexity,duplicate_intent_check,brand_policy_check,should_add_now,reason,required_features,index_status
Greek Name Generator,greek-name-generator,Name Generators,medium,medium,"Some overlap with historical/ancient name tools; cultural accuracy risk needs clearer scope.","Culture-sensitive historical naming; should avoid implying authentic identity or ethnicity assignment.",no,"Useful, but ancient Greek naming needs human review for cultural framing and accuracy before indexing.","fictional/historical framing; era/style options; pronunciation notes; avoid ethnicity claims",hold_review
Roman Name Generator,roman-name-generator,Name Generators,medium,medium,"Some overlap with historical/ancient name tools; could merge with broader ancient name mode later.","Culture-sensitive historical naming; safe only with fictional/history framing.",no,"Useful, but needs review alongside Greek/Egyptian/Celtic/Gaelic naming to avoid a pile of similar culture pages.","fictional Roman-style names; praenomen/nomen/cognomen options; historical disclaimer",hold_review
Iupac Name Generator,iupac-name-generator,Education Generators,low,medium,"Distinct intent from existing name and text generators; chemistry naming is unique.","Low brand/policy risk; must avoid pretending to validate hazardous chemical handling.",yes,"Clear educational utility, low sensitivity, and no franchise or identity risk.","compound input; naming pattern options; educational examples; disclaimer that output is study aid not lab safety advice",index_ready_next_pass
Muslim Name Generator,muslim-name-generator,Name Generators,high,medium,"May overlap baby/name tools but with religious identity framing.","Religious and culture-sensitive; should not be added without careful human review.",no,"Religious naming pages need stronger policy/content review and respectful scope before any implementation.","respectful framing; meanings/source notes; no identity claims; human-reviewed content",hold_review
Clown Name Generator,clown-name-generator,Entertainment Generators,medium,low,"Distinct but very niche entertainment naming intent.","Low policy risk, but extreme niche and weak index value compared with safer utility adds.",no,"Harmless enough, but too niche for the next add pass and not as useful as poster/flyer/racehorse/IUPAC.","style options; circus/party/character framing; avoid real performer references",later_noindex
Soviet Name Generator,soviet-name-generator,Name Generators,high,medium,"Could overlap historical name tools but with ideology-specific framing.","Political/historical ideology risk; should not be indexed without review.",no,"Political ideology framing is not appropriate for the safe add pass.","fictional historical framing; avoid propaganda; human review",hold_review
Victorian Name Generator,victorian-name-generator,Name Generators,low,low,"Distinct enough from existing historical/fantasy tools if framed as period-style fictional names.","Low policy risk when framed as fictional period naming and not identity assignment.",yes,"Clear generator output, broad writing/worldbuilding use, low complexity, and safer than culture/religion/political items.","given/surname options; class/formality styles; character and setting use cases; option-aware output",index_ready_next_pass
Mandarin Name Generator,mandarin-name-generator,Name Generators,high,high,"Could overlap language/culture-specific naming and pronunciation tools.","Culture/language-sensitive; high accuracy risk; should not be guessed.",no,"Requires human review and likely expert-quality framing before any implementation.","language accuracy; romanization choices; meaning notes; no cultural identity claims",hold_review
Villainess Name Generator,villainess-name-generator,Creative Generators,medium,low,"Overlaps villain-name-generator and character-name-generator.","Low direct policy risk, but duplicate intent is high enough to merge rather than add.",no,"Best handled as a style/mode on existing villain or character naming rather than a standalone page.","merge into villain-name-generator; elegant/royal/dark styles; fictional only",merge_as_mode
Celtic Name Generator,celtic-name-generator,Name Generators,high,medium,"Overlaps historical/culture name family; broad and ambiguous.","Culture-sensitive umbrella term; should not be added without narrower scope.",no,"Too broad and culturally sensitive for safe add pass.","narrow culture/language scope; fictional framing; meanings reviewed",hold_review
Chapter Name Generator,chapter-name-generator,Writing Generators,medium,medium,"Overlaps title-name-generator, book-name-generator, and story-name-generator.","Low policy risk, but intent overlap and output scope are unclear.",no,"Useful idea, but should be reviewed as a mode of title/story tools before standalone indexing.","chapter title formats; genre options; outline-aware output; merge decision",merge_as_mode
Egyptian Name Generator,egyptian-name-generator,Name Generators,medium,medium,"Overlaps historical/culture name tools; can be safe only with fictional ancient setting scope.","Culture-sensitive historical naming needs careful review.",no,"Not unsafe by default, but less safe than neutral utility/design adds for the next pass.","ancient/modern distinction; fictional framing; deity/royal terms handled carefully",hold_review
Racehorse Name Generator,racehorse-name-generator,Name Generators,low,low,"Distinct from existing pet/animal/name tools; clear standalone intent.","Low policy and brand risk if output avoids real horse/racing brand references.",yes,"Clear, fun but useful naming task with simple option-aware output and low sensitivity.","name length options; racing style options; stable/barn name ideas; avoid real famous horse names",index_ready_next_pass
Emo Name Generator,emo-name-generator,Creative Generators,low,low,"Some overlap with goth-name-generator but distinct subculture/style intent.","Low policy risk if framed as aesthetic aliases and avoids self-harm or harmful stereotypes.",yes,"Mostly style/aesthetic, easy to keep safe, and clearer than clown/kitsune/leprechaun niche pages.","aesthetic alias styles; profile/character framing; avoid harmful stereotypes; safe language",index_ready_next_pass
Gaelic Name Generator,gaelic-name-generator,Name Generators,high,high,"Overlaps Celtic and culture/language-specific name tools.","Culture/language-sensitive; accuracy and scope risk.",no,"Needs human review and careful language distinction before implementation.","Irish/Scottish distinction; pronunciation; meanings reviewed; no identity claims",hold_review
Jewish Name Generator,jewish-name-generator,Name Generators,high,medium,"May overlap baby/name tools but with religious/cultural identity framing.","Religious and culture-sensitive; should not be added without careful review.",no,"Religious/cultural naming deserves human review and respectful content standards.", "respectful framing; meanings/source notes; no identity claims; human-reviewed content",hold_review
Kitsune Name Generator,kitsune-name-generator,Fantasy Generators,medium,low,"Overlaps fantasy, fox/werewolf, and folklore creature name tools.","Folklore/culture-sensitive and niche; possible anime/franchise drift if careless.",no,"Too niche and culturally loaded for the next safe add pass.","fictional folklore framing; avoid franchise references; merge decision",hold_review
Leprechaun Name Generator,leprechaun-name-generator,Fantasy Generators,medium,low,"Overlaps fantasy and folklore creature tools.","Folklore/culture stereotype risk; very niche.",no,"Not a priority for indexing and needs stereotype-safe review.", "fictional folklore framing; avoid caricature; merge decision",hold_review
Poster Generator,poster-generator,Design Generators,low,medium,"Distinct from existing banner/business-card/logo tools if implemented as poster copy/layout ideas.","Low brand/policy risk; should avoid copyrighted event/brand templates.",yes,"Useful broad design/copy utility with clear output and low sensitivity when template-based.", "poster headline; subhead; CTA; layout notes; event/business/announcement options",index_ready_next_pass
Flyer Generator,flyer-generator,Design Generators,low,medium,"Distinct from poster/banner tools if focused on flyer copy and structure.","Low brand/policy risk; avoid misleading regulated claims.",yes,"Broad practical use, clear template output, and safe enough for next add pass.", "flyer headline; offer/event details; CTA; audience options; print/social variants",index_ready_next_pass
Meme Generator,meme-generator,Entertainment Generators,medium,medium,"Distinct as a concept but may overlap caption/text generators.","UGC, copyright, harassment, and platform-policy risk depending on implementation.",no,"Useful but not safe for this add pass without stronger moderation and image/template decisions.", "text-only meme captions or safe templates; no harassment; no copyrighted template dependency",hold_review
