tool_name,slug,original_risk_reason,final_decision,safer_name_if_any,safer_slug_if_any,parent_tool_if_merge,reason,recommended_index_status
Greek Name Generator,greek-name-generator,"Ancient Greek naming is culture/historical-sensitive and needs accuracy review before indexing.",safe_rename,Ancient Greek-Inspired Name Generator,ancient-greek-inspired-name-generator,,"Could proceed later if framed as fictional/history-inspired, not ethnicity or identity assignment. Needs careful period scope and pronunciation/meaning caveats.",later_index_after_review
Roman Name Generator,roman-name-generator,"Historical/culture-sensitive and overlaps with broader ancient-name concepts.",safe_rename,Roman-Inspired Character Name Generator,roman-inspired-character-name-generator,,"Can be made safer as fictional Roman-inspired character naming with praenomen/nomen/cognomen options and no genealogy claims.",later_index_after_review
Muslim Name Generator,muslim-name-generator,"Religion-sensitive and culturally specific naming requires respectful human review.",keep_hold,,,,"Do not add in an automated pass. Religious naming pages need reviewed meanings, respectful framing, and clear limits.",hold_review
Clown Name Generator,clown-name-generator,"Harmless but too niche for current indexed add pass.",add_later_noindex,,,,"Safe enough as a playful character/stage-name tool if noindex at first; avoid real performers and keep it light entertainment.",noindex_later
Soviet Name Generator,soviet-name-generator,"Political/historical ideology framing is high risk.",reject,,,,"Ideology-specific naming is not suitable as a standalone indexed generator. Reframing would change the intent too much.",do_not_add
Mandarin Name Generator,mandarin-name-generator,"Language/culture-sensitive with high accuracy risk.",keep_hold,,,,"Needs expert-quality language handling, romanization choices, and cultural review. Do not add from templates.",hold_review
Villainess Name Generator,villainess-name-generator,"Overlaps existing villain and character naming tools.",merge_as_mode,,,villain-name-generator,"Best handled as a style option such as elegant villainess, royal antagonist, or gothic rival on the existing villain-name-generator.",merge_no_standalone
Celtic Name Generator,celtic-name-generator,"Broad culture umbrella with accuracy and sensitivity risk.",keep_hold,,,,"Too broad to proceed safely. Needs narrower reviewed scope before any future page.",hold_review
Chapter Name Generator,chapter-name-generator,"Overlaps title, book, and story naming tools.",merge_as_mode,,,title-name-generator,"Useful feature, but should be a chapter/title mode inside title-name-generator or story-name-generator rather than a standalone page.",merge_no_standalone
Egyptian Name Generator,egyptian-name-generator,"Culture/historical-sensitive and less safe than neutral utility adds.",safe_rename,Ancient Egyptian-Inspired Name Generator,ancient-egyptian-inspired-name-generator,,"Could proceed later as fictional ancient-setting names with careful deity/royal wording and no identity claims.",later_index_after_review
Gaelic Name Generator,gaelic-name-generator,"Culture/language-sensitive with scope ambiguity.",keep_hold,,,,"Needs Irish/Scottish distinction, pronunciation review, and meaning accuracy. Do not add as a broad generic page.",hold_review
Jewish Name Generator,jewish-name-generator,"Religion/culture-sensitive naming needs respectful content standards.",keep_hold,,,,"Do not add in an automated pass. Requires reviewed meanings, traditions, and careful wording.",hold_review
Kitsune Name Generator,kitsune-name-generator,"Folklore/culture-sensitive and possible franchise/anime drift.",add_later_noindex,Kitsune-Inspired Character Name Generator,kitsune-inspired-character-name-generator,,"Can be safe later as fictional folklore-inspired character names, no franchise references, noindex initially.",noindex_later
Leprechaun Name Generator,leprechaun-name-generator,"Folklore stereotype risk and very niche.",add_later_noindex,Leprechaun-Inspired Character Name Generator,leprechaun-inspired-character-name-generator,,"Can be safe later if stereotype-safe, fictional, and noindex initially; not a priority for indexed growth.",noindex_later
Meme Generator,meme-generator,"UGC, copyright, harassment, and moderation risk.",keep_hold,,,,"Keep held until there is a moderation-safe text-only scope or approved template system. Avoid copyrighted image/template dependency.",hold_review
