source_keyword_or_slug,merge_into_slug,add_as_mode_or_keyword,exact_mode_name,reason
thieves-guild-names-generator,guild-name-generator,mode,Thieves Guild,"Overlaps guild naming and has fictional crime framing; safest as a fantasy guild style mode with non-real-world framing."
name-picker-generator,pick-a-name-generator,keyword,Name Picker,"Exact duplicate intent for choosing one item from a list; add keyword coverage and related copy rather than standalone page."
name-picker-generator,name-generator-wheel,keyword,Name Picker Wheel,"Wheel-style picker intent can be covered by existing wheel page metadata/FAQ."
name-randomizer-generator,pick-a-name-generator,mode,Randomizer,"Duplicate random choice workflow; add randomizer wording and optional output style if needed."
cake-bakery-names-generator,cake-company-names-generator,mode,Cake Bakery,"Overlaps Batch B cake-company-names-generator and bakery-name-generator; add cake bakery keyword/mode instead of new page."
cake-bakery-names-generator,bakery-name-generator,keyword,Cake Bakery Names,"Secondary keyword support for broader bakery-name page if needed."
project-name-generator-using-keywords,project-name-generator-keywords,keyword,Project Names Using Keywords,"Exact duplicate of upgraded keyword project-name tool; add alternate phrasing only."
superhero-name-generator-based-on-powers,superhero-name-generator,mode,Based On Powers,"Power-based superhero names should be an option on the existing superhero-name-generator."
nicknames-generator,nickname-generator,keyword,Nicknames,"Plural duplicate of nickname-generator; add secondary keyword or FAQ wording only."
nicknames-generator,nickname-generator-based-on-name,keyword,Nicknames From Name,"Also overlaps Batch B/C nickname-from-name tool; no standalone page."
spin-the-wheel-name-generator,name-generator-wheel,keyword,Spin The Wheel Name Generator,"Duplicate wheel intent; add alternate keyword and maybe FAQ text only."
lettering-generator,fancy-text-generator,mode,Lettering,"Previously held merge-mode; visual lettering belongs under text/font styling rather than standalone."
lettering-generator,serif-generator,keyword,Lettering Styles,"Can be covered as a related decorative text/font keyword where appropriate."
language-generator,fantasy-language-generator,mode,Language Builder,"Broad language generator is unclear; if used, merge as fictional language/worldbuilding mode only."
space-type-generator,repeat-text-generator,mode,Spacing,"Likely spacing/text layout intent; merge into text spacing/repeat tools rather than standalone."
ipa-generator,phonetic-spelling-of-name-generator,mode,IPA-Style Guide,"IPA-like text should be a careful optional mode under phonetic spelling, with no overclaim of official transcription accuracy."
ipa-generator,name-pronunciation-generator,keyword,IPA Pronunciation Guide,"Related pronunciation keyword coverage; no standalone IPA page unless a real IPA system is implemented."
shakespeare-generator,shakespeare-insult-generator,mode,Shakespeare Style,"Overlaps existing Shakespeare insult/writing style tooling; add a broader style mode only if safe."
name-drawing-generator,secret-santa-name-generator,keyword,Name Drawing,"Name drawing overlaps Secret Santa/gift exchange draw; add keyword coverage if needed."
name-drawing-generator,pick-a-name-generator,keyword,Draw Names,"Also covered by pick-a-name-generator for generic list draws."
name-design-generator,fancy-text-generator,mode,Name Design,"Previously held merge-mode; visual name styling belongs under text/font tools."
